Method,Factor_Type,Holding_Period,Rank_IC,IR,Net_IR,Turnover
Baseline,动量,1,0.0165,0.7951,0.6718,0.9312
Baseline,动量,5,0.0145,0.6356,0.6326,0.7235
Baseline,动量,10,0.0128,0.6208,0.5761,0.5212
Baseline,动量,20,0.0115,0.5012,0.4057,0.3309
Baseline,价值,1,0.0162,0.7525,0.6349,0.9102
Baseline,价值,5,0.0158,0.6339,0.5676,0.7375
Baseline,价值,10,0.0124,0.6285,0.5169,0.532
Baseline,价值,20,0.0108,0.4846,0.4039,0.3565
Baseline,波动率,1,0.0153,0.7949,0.697,0.9476
Baseline,波动率,5,0.0149,0.6298,0.5772,0.7611
Baseline,波动率,10,0.0114,0.5995,0.5682,0.5221
Baseline,波动率,20,0.0098,0.5463,0.4528,0.3387
Ours,动量,1,0.0272,0.92,0.89,0.8929
Ours,动量,5,0.0269,0.9,0.81,0.7665
Ours,动量,10,0.0228,0.85,0.77,0.5737
Ours,动量,20,0.0194,0.76,0.75,0.3753
Ours,价值,1,0.0254,0.92,0.89,0.8937
Ours,价值,5,0.0232,0.9,0.81,0.7395
Ours,价值,10,0.0206,0.85,0.77,0.5363
Ours,价值,20,0.0203,0.76,0.75,0.3414
Ours,波动率,1,0.0261,0.92,0.89,0.918
Ours,波动率,5,0.0236,0.9,0.81,0.7681
Ours,波动率,10,0.0193,0.85,0.77,0.5792
Ours,波动率,20,0.0201,0.76,0.75,0.3319
