LLM,Group,Mean Rank,Std Rank,Rank 1 Count,Rank 4 Count
DeepSeek R1,Group A,1.94,0.46991097723995784,7,0
DeepSeek R1,Group B,3.04,0.449943307086389,0,6
DeepSeek R1,Group C,3.88,0.3282607226593161,0,44
DeepSeek R1,Group D,1.14,0.3505098327538655,43,0
Gemini 3.1 Pro,Group A,1.32,0.47121207149916117,34,0
Gemini 3.1 Pro,Group B,3.2,0.40406101782088427,0,10
Gemini 3.1 Pro,Group C,3.8,0.40406101782088427,0,40
Gemini 3.1 Pro,Group D,1.68,0.47121207149916117,16,0
Claude Sonnet 4.6,Group A,1.9,0.3030457633656633,5,0
Claude Sonnet 4.6,Group B,3.12,0.32826072265931605,0,6
Claude Sonnet 4.6,Group C,3.88,0.32826072265931605,0,44
Claude Sonnet 4.6,Group D,1.1,0.3030457633656633,45,0
