method,factor_type,factor_name,train_q_value,holding_period,rank_ic,icir,raw_ir,net_ir,daily_turnover,portfolio_turnover,annual_return,tracking_error,info_retention,ic_half_life
baseline,动量因子,volatility_normalized_volume_momentum,5.109999999999999,1D,0.0005,0.0031,0.5435,0.0509,0.1027,0.176,0.0734,0.1351,100.0,40.0
baseline,动量因子,volatility_normalized_volume_momentum,5.109999999999999,5D,0.0143,0.087,0.3417,0.2392,0.1027,0.176,0.0444,0.1298,2639.91,40.0
baseline,动量因子,volatility_normalized_volume_momentum,5.109999999999999,10D,0.0064,0.0424,-0.1357,-0.1899,0.1027,0.176,-0.0167,0.1227,1179.75,40.0
baseline,动量因子,volatility_normalized_volume_momentum,5.109999999999999,20D,-0.0312,-0.2173,-0.6757,-0.7044,0.1027,0.176,-0.0784,0.1161,-5761.63,40.0
baseline,动量因子,volatility_normalized_volume_momentum_enhanced,5.109999999999999,1D,-0.0037,-0.0213,0.5034,0.0627,0.083,0.1537,0.0663,0.1318,100.0,40.0
baseline,动量因子,volatility_normalized_volume_momentum_enhanced,5.109999999999999,5D,0.012,0.0758,0.2728,0.1798,0.083,0.1537,0.0341,0.1249,-324.91,40.0
baseline,动量因子,volatility_normalized_volume_momentum_enhanced,5.109999999999999,10D,0.0071,0.048,-0.0932,-0.1429,0.083,0.1537,-0.0109,0.1168,-190.12,40.0
baseline,动量因子,volatility_normalized_volume_momentum_enhanced,5.109999999999999,20D,-0.0292,-0.2034,-0.613,-0.638,0.083,0.1537,-0.0714,0.1164,787.79,40.0
baseline,动量因子,volatility_normalized_volume_momentum,5.486,1D,-0.0166,-0.0941,-0.3134,-0.7877,0.0613,0.1774,-0.0443,0.1414,100.0,40.0
baseline,动量因子,volatility_normalized_volume_momentum,5.486,5D,-0.018,-0.1096,-0.6219,-0.7195,0.0613,0.1774,-0.0855,0.1374,108.33,40.0
baseline,动量因子,volatility_normalized_volume_momentum,5.486,10D,-0.0412,-0.2897,-1.265,-1.3207,0.0613,0.1774,-0.1523,0.1204,248.0,40.0
baseline,动量因子,volatility_normalized_volume_momentum,5.486,20D,-0.098,-0.5885,-1.3115,-1.3341,0.0613,0.1774,-0.1951,0.1488,589.7,40.0
baseline,动量因子,stable_volatility_normalized_volume_momentum,5.034000000000001,1D,0.0021,0.0124,1.0909,0.7014,0.0519,0.1629,0.1724,0.158,100.0,40.0
baseline,动量因子,stable_volatility_normalized_volume_momentum,5.034000000000001,5D,0.0162,0.095,0.9563,0.8735,0.0519,0.1629,0.1421,0.1486,752.18,40.0
baseline,动量因子,stable_volatility_normalized_volume_momentum,5.034000000000001,10D,0.0174,0.1084,0.5027,0.4611,0.0519,0.1629,0.0743,0.1478,808.91,40.0
baseline,动量因子,stable_volatility_normalized_volume_momentum,5.034000000000001,20D,-0.0057,-0.0349,-0.2728,-0.2932,0.0519,0.1629,-0.0413,0.1512,-264.07,40.0
baseline,动量因子,volatility_normalized_volume_weighted_momentum,5.286,1D,-0.0166,-0.0941,-0.3134,-0.7877,0.0613,0.1774,-0.0443,0.1414,100.0,40.0
baseline,动量因子,volatility_normalized_volume_weighted_momentum,5.286,5D,-0.018,-0.1096,-0.6219,-0.7195,0.0613,0.1774,-0.0855,0.1374,108.33,40.0
baseline,动量因子,volatility_normalized_volume_weighted_momentum,5.286,10D,-0.0412,-0.2897,-1.265,-1.3207,0.0613,0.1774,-0.1523,0.1204,248.0,40.0
baseline,动量因子,volatility_normalized_volume_weighted_momentum,5.286,20D,-0.098,-0.5885,-1.3115,-1.3341,0.0613,0.1774,-0.1951,0.1488,589.7,40.0
debate,动量因子,stable_volume_confirmed_momentum,5.6579999999999995,1D,-0.0022,-0.0215,0.5651,-0.5155,0.3783,0.266,0.0526,0.0931,100.0,40.0
debate,动量因子,stable_volume_confirmed_momentum,5.6579999999999995,5D,-0.0142,-0.1347,-0.4667,-0.6981,0.3783,0.266,-0.0406,0.0869,630.41,40.0
debate,动量因子,stable_volume_confirmed_momentum,5.6579999999999995,10D,-0.0247,-0.2285,-0.8398,-0.9528,0.3783,0.266,-0.0747,0.089,1097.7,40.0
debate,动量因子,stable_volume_confirmed_momentum,5.6579999999999995,20D,-0.0445,-0.3942,-0.7615,-0.821,0.3783,0.266,-0.0644,0.0845,1981.16,40.0
debate,动量因子,stable_volume_confirmed_momentum_v2,5.6579999999999995,1D,-0.0112,-0.0908,0.1086,-0.555,0.2221,0.183,0.0113,0.1043,100.0,40.0
